,Source Function,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L1D_MISS,Hardware Event Count:OFFCORE_RESPONSE:request=ALL_READS:response=LLC_MISS.LOCAL_DRAM,Hardware Event Count:OFFCORE_RESPONSE:request=ALL_READS:response=LLC_MISS.REMOTE_DRAM,Hardware Event Count:CPU_CLK_UNHALTED.REF_XCLK,Hardware Event Count:L1D_PEND_MISS.PENDING,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_HIT.HITM_OTHER_CORE,Hardware Event Count:OFFCORE_RESPONSE:request=DEMAND_RFO:response=LLC_MISS.REMOTE_HITM,Hardware Event Count:CYCLE_ACTIVITY.STALLS_L2_MISS,Hardware Event Count:CYCLE_ACTIVITY.STALLS_MEM_ANY,Hardware Event Count:CYCLE_ACTIVITY.STALLS_TOTAL,CPU Time (s),CPU Time %,config
0,decode_mcu,18450027675,120003600,7500225,188885666400,46650069975,0,0,7500011250,1125451688175,2086953130425,1868.6299999999999,19.259679931232725,b1024_gpu4_dataloader8
1,jpeg_idct_islow,1950002925,82502475,0,147529425750,7800011700,0,0,1200001800,92100138150,302550453825,1472.18,15.173531197274043,b1024_gpu4_dataloader8
2,ImagingResampleHorizontal_8bpc,4350006525,4417632525,30000900,65859475725,9450014175,0,0,4050006075,22500033750,33300049950,667.205,6.876778574954984,b1024_gpu4_dataloader8
3,ycc_rgb_convert,1950002925,502515075,7500225,52891586700,18600027900,0,0,750001125,5700008550,13950020925,537.975,5.5448249846170325,b1024_gpu4_dataloader8
4,ImagingResampleVertical_8bpc,7650011475,1260037800,15000450,45076352250,33750050625,0,0,6750010125,23550035325,34800052200,463.465,4.776861957331721,b1024_gpu4_dataloader8
5,jpeg_fill_bit_buffer,2850004275,22500675,0,35101053000,3000004500,0,0,750001125,87150130725,322500483750,365.73999999999995,3.7696255213975247,b1024_gpu4_dataloader8
6,__memmove_avx_unaligned_erms,470400705600,14670440100,105003150,28065841950,1775102662650,0,0,371100556650,707401061100,823201234800,288.60499999999996,2.974607025764019,b1024_gpu4_dataloader8
7,jpeg_idct_16x16,300000450,45001350,0,24218226525,600000900,0,0,300000450,4500006750,11100016650,235.28499999999997,2.4250460458304164,b1024_gpu4_dataloader8
8,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>",524100786150,9757792725,6157684725,21878156325,2383203574800,0,0,464250696375,646500969750,649800974700,227.455,2.344343448814661,b1024_gpu4_dataloader8
9,"at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0",123000184500,5527665825,60001800,17250517500,421800632700,0,0,46050069075,251400377100,336150504225,172.36499999999998,1.7765393530805609,b1024_gpu4_dataloader8
10,decompress_onepass,300000450,15000450,0,14887946625,2550003825,0,0,600000900,16050024075,44700067050,144.185,1.4860924585845192,b1024_gpu4_dataloader8
11,ImagingUnpackRGB,1800002700,2610078300,7500225,14977949325,2850004275,0,0,1800002700,6150009225,24450036675,143.64,1.4804752280131799,b1024_gpu4_dataloader8
12,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>",750001125,7500225,7500225,8842765275,5100007650,0,0,150000225,1950002925,3450005175,85.275,0.8789162146256191,b1024_gpu4_dataloader8
13,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>",40350060525,1905057150,37501125,5107653225,97500146250,0,0,13050019575,69450104175,82800124200,47.62,0.49081196294895313,b1024_gpu4_dataloader8
14,ImagingPackRGB,2100003150,562516875,7500225,3825114750,19200028800,0,0,600000900,3600005400,9300013950,38.98,0.4017608214143258,b1024_gpu4_dataloader8
15,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}>>",39900059850,15000450,0,2775083250,596700895050,0,0,26550039825,38100057150,37800056700,34.235,0.3528548414858759,b1024_gpu4_dataloader8
16,__memset_avx2_unaligned_erms,2700004050,75002250,7500225,3300099000,3600005400,0,0,2550003825,8850013275,17850026775,30.015000000000004,0.30935995522706494,b1024_gpu4_dataloader8
17,ImagingFlipLeftRight,2550003825,907527225,7500225,2775083250,9000013500,0,0,1200001800,4050006075,13350020025,22.595000000000002,0.23288316469616965,b1024_gpu4_dataloader8
18,_int_free,9600014400,112503375,7500225,810024300,20100030150,0,0,8400012600,11100016650,16050024075,10.174999999999999,0.10487214874014275,b1024_gpu4_dataloader8
19,__libc_calloc,1500002250,45001350,0,240007200,3750005625,0,0,1800002700,4050006075,7050010575,2.3749999999999996,0.024478757076937495,b1024_gpu4_dataloader8
20,decode_mcu,25800038700,300009000,30000900,191615748300,61650092475,0,0,9300013950,1151251726875,2118153177225,2006.7549999999997,19.459244293755063,b1024_gpu4_dataloader12
21,jpeg_idct_islow,3300004950,157504725,7500225,152494574700,8550012825,0,0,1650002475,116250174375,314850472275,1602.035,15.534726676722322,b1024_gpu4_dataloader12
22,ImagingResampleHorizontal_8bpc,7200010800,5212656375,67502025,67974539175,9000013500,0,0,5250007875,46200069300,47250070875,667.345,6.471158354266453,b1024_gpu4_dataloader12
23,ycc_rgb_convert,3750005625,1057531725,30000900,58734261975,14850022275,0,0,1350002025,13950020925,34650051975,591.145,5.732256786718777,b1024_gpu4_dataloader12
24,ImagingResampleVertical_8bpc,8700013050,2805084150,52501575,48241447200,36600054900,0,0,9750014625,42600063900,57750086625,457.2950000000001,4.434330608027748,b1024_gpu4_dataloader12
25,jpeg_fill_bit_buffer,2100003150,37501125,0,38348650425,4650006975,0,0,1950002925,93750140625,334950502425,396.995,3.8496092888266347,b1024_gpu4_dataloader12
26,__memmove_avx_unaligned_erms,585600878400,19538086125,367511025,35243557275,2175003262500,0,0,482250723375,897151345725,1007851511775,337.31,3.2708515452691143,b1024_gpu4_dataloader12
27,jpeg_idct_16x16,600000900,60001800,0,24720741600,0,0,0,150000225,7050010575,17700026550,242.15,2.348097304221387,b1024_gpu4_dataloader12
28,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>",540600810900,11077832325,5220156600,23250697500,2570853856275,0,0,477600716400,650100975150,681751022625,230.375,2.233916648606244,b1024_gpu4_dataloader12
29,"at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0",149400224100,6607698225,195005850,17078012325,473700710550,0,0,62700094050,288600432900,349950524925,158.10500000000002,1.5331237839517755,b1024_gpu4_dataloader12
30,decompress_onepass,2250003375,45001350,7500225,15007950225,7500011250,0,0,2400003600,25350038025,52500078750,156.52,1.517754243471945,b1024_gpu4_dataloader12
31,ImagingUnpackRGB,3000004500,4050121500,75002250,16582997475,8100012150,0,0,3300004950,11250016875,29550044325,155.92499999999998,1.5119846052476553,b1024_gpu4_dataloader12
32,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>",1200001800,37501125,0,8940268200,8400012600,0,0,1800002700,3900005850,6150009225,85.985,0.8337854499420853,b1024_gpu4_dataloader12
33,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>",47250070875,3600108000,82502475,6105183150,92700139050,0,0,16950025425,103200154800,139350209025,55.830000000000005,0.5413763059867026,b1024_gpu4_dataloader12
34,ImagingPackRGB,2550003825,1350040500,30000900,4575137250,25200037800,0,0,1350002025,6150009225,21300031950,37.57000000000001,0.3643114421622859,b1024_gpu4_dataloader12
35,__memset_avx2_unaligned_erms,3150004725,90002700,0,3165094950,3750005625,0,0,3000004500,9900014850,18000027000,35.445,0.34370559136125156,b1024_gpu4_dataloader12
36,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}>>",36150054225,7500225,0,3540106200,575550863325,0,0,25050037575,39450059175,37500056250,30.935,0.2999727033082329,b1024_gpu4_dataloader12
37,ImagingFlipLeftRight,4200006300,1432542975,22500675,2940088200,17700026550,0,0,1350002025,9900014850,20250030375,23.16,0.22457953155386054,b1024_gpu4_dataloader12
38,_int_free,10350015525,112503375,22500675,1005030150,25650038475,0,0,10200015300,14850022275,24600036900,11.174999999999999,0.10836253303602725,b1024_gpu4_dataloader12
39,__libc_calloc,2100003150,37501125,7500225,427512825,2550003825,0,0,2550003825,6300009450,6300009450,3.6449999999999996,0.035345094668127006,b1024_gpu4_dataloader12
40,decode_mcu,43800065700,322509675,7500225,198778463175,85050127575,0,0,16200024300,1214551821825,2259753389625,1957.2500000000002,17.747071699167076,b1024_gpu4_dataloader16
41,jpeg_idct_islow,4500006750,210006300,15000450,166092482625,11700017550,7500225,0,2250003375,148500222750,375750563625,1574.6499999999996,14.277903410955897,b1024_gpu4_dataloader16
42,ImagingResampleHorizontal_8bpc,12750019125,5437663125,67502025,74124723675,19350029025,0,0,6900010350,79200118800,94050141075,761.4150000000001,6.904016654909337,b1024_gpu4_dataloader16
43,ycc_rgb_convert,6600009900,1365040950,22500675,62056861650,27900041850,0,0,4500006750,34950052425,63450095175,595.7349999999999,5.401738029737283,b1024_gpu4_dataloader16
44,ImagingResampleVertical_8bpc,11850017775,3472604175,22500675,49238977125,42900064350,0,0,10950016425,71250106875,85200127800,537.1899999999999,4.87088999671762,b1024_gpu4_dataloader16
45,jpeg_fill_bit_buffer,4050006075,90002700,0,41618748525,5100007650,0,0,1800002700,114750172125,346350519525,393.51500000000004,3.568138418545271,b1024_gpu4_dataloader16
46,__memmove_avx_unaligned_erms,666901000350,23745712350,150004500,38326149750,2481153721725,0,0,573000859500,1005601508400,1119901679850,391.12999999999994,3.5465127876843616,b1024_gpu4_dataloader16
47,jpeg_idct_16x16,900001350,60001800,0,25995779850,900001350,0,0,450000675,14850022275,32550048825,265.07,2.403482587966901,b1024_gpu4_dataloader16
48,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(float)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>)#2}>>",569250853875,11655349650,4852645575,23730711900,2382153573225,0,0,487650731475,682501023750,699151048725,248.70499999999998,2.255095397594251,b1024_gpu4_dataloader16
49,"at::native::AVX2::vectorized_loop<at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(floatfloat)#1}&, at::native::(anonymous namespace)::div_true_kernel(at::TensorIteratorBase&)::{lambda()#1}::operator()(void) const::{lambda()#2}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}&>.isra.0",154200231300,7425222750,45001350,18263047875,503550755325,0,0,72600108900,309000463500,364050546075,197.17999999999998,1.7879001648444315,b1024_gpu4_dataloader16
50,ImagingUnpackRGB,4350006525,5055151650,37501125,15637969125,7200010800,0,0,2850004275,17550026325,43650065475,159.75,1.4485092369099197,b1024_gpu4_dataloader16
51,decompress_onepass,4800007200,97502925,0,17085512550,5700008550,0,0,2700004050,32100048150,62100093150,156.935,1.4229846453487216,b1024_gpu4_dataloader16
52,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(unsigned char)#1}, at::native::AVX2::direct_copy_kernel(at::TensorIteratorBase&)::{lambda()#3}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<unsigned char>)#2}>>",3150004725,15000450,0,10800324000,3600005400,0,0,2400003600,14550021825,14850022275,105.44,0.9560614331128761,b1024_gpu4_dataloader16
53,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::TensorIteratorBase::loop_2d_from_1d<at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1}>(, signed char, at::native::AVX2::copy_kernel(at::TensorIterator&, bool)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda()#1}::operator()(void) const::{lambda(char**long const*, long)#1} const&)::{lambda(char**long const*, long, long)#1}>",49950074925,5272658175,60001800,7740232200,102750154125,0,0,18150027225,130650195975,160650240975,77.355,0.7014048952811696,b1024_gpu4_dataloader16
54,ImagingPackRGB,5550008325,1687550625,15000450,4507635225,23550035325,0,0,1200001800,9450014175,30150045225,45.615,0.41360719149700154,b1024_gpu4_dataloader16
55,"c10::function_ref<void (char**, long const*, long, long)>::callback_fn<at::native::AVX2::VectorizedLoop2d<at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(floatfloat)#1}, at::native::(anonymous namespace)::add_kernel(at::TensorIteratorBase&, c10::Scalar const&)::{lambda()#1}::operator()(void) const::{lambda()#7}::operator()(void) const::{lambda(at::vec::AVX2::Vectorized<float>at::vec::AVX2::Vectorized<float>)#2}>>",41550062325,7500225,0,3555106650,578100867150,0,0,26250039375,45450068175,47100070650,37.995,0.3445139809476832,b1024_gpu4_dataloader16
56,__memset_avx2_unaligned_erms,4350006525,142504275,0,3802614075,6000009000,0,0,3300004950,9900014850,29250043875,33.705,0.305615047449445,b1024_gpu4_dataloader16
57,ImagingFlipLeftRight,3900005850,1560046800,22500675,2730081900,15450023175,0,0,750001125,10800016200,21300031950,31.37,0.2844427841118259,b1024_gpu4_dataloader16
